NAMESPACE                 LAST SEEN   TYPE      REASON                       OBJECT                                                                        MESSAGE
kube-system               3m          Normal    LeaderElection               lease/cert-manager-cainjector-leader-election                                 cert-manager-cainjector-55cd9f77b5-zfgp5_23cc4fdf-7fdc-4b4f-a19f-97bcceee2092 became leader
cert-manager              3m          Normal    Created                      pod/cert-manager-webhook-7987476d56-z7ph6                                     Created container: cert-manager-webhook
cert-manager              3m          Normal    Pulled                       pod/cert-manager-cainjector-55cd9f77b5-zfgp5                                  Container image "quay.io/jetstack/cert-manager-cainjector:v1.18.2" already present on machine
cert-manager              3m          Normal    Started                      pod/cert-manager-webhook-7987476d56-z7ph6                                     Started container cert-manager-webhook
cert-manager              3m          Normal    Started                      pod/cert-manager-58dd99f969-ssdgg                                             Started container cert-manager-controller
cert-manager              2m59s       Normal    Started                      pod/cert-manager-startupapicheck-ngll4                                        Started container cert-manager-startupapicheck
cert-manager              2m47s       Normal    Completed                    job/cert-manager-startupapicheck                                              Job completed
default                   2m44s       Warning   UpdateFailed                 validatingwebhookconfiguration/secretstore-validate                           ca cert not yet ready
external-secrets-system   2m44s       Normal    ScalingReplicaSet            deployment/external-secrets-cert-controller                                   Scaled up replica set external-secrets-cert-controller-b8bccfdb7 from 0 to 1
external-secrets-system   2m44s       Normal    SuccessfulCreate             replicaset/external-secrets-6566c4cfdd                                        Created pod: external-secrets-6566c4cfdd-587v8
external-secrets-system   2m44s       Normal    Pulled                       pod/external-secrets-cert-controller-b8bccfdb7-vzz5f                          Container image "oci.external-secrets.io/external-secrets/external-secrets:v0.18.2" already present on machine
external-secrets-system   2m44s       Normal    Created                      pod/external-secrets-cert-controller-b8bccfdb7-vzz5f                          Created container: cert-controller
external-secrets-system   2m44s       Normal    Started                      pod/external-secrets-cert-controller-b8bccfdb7-vzz5f                          Started container cert-controller
external-secrets-system   2m44s       Normal    SuccessfulCreate             replicaset/external-secrets-cert-controller-b8bccfdb7                         Created pod: external-secrets-cert-controller-b8bccfdb7-vzz5f
external-secrets-system   2m44s       Normal    Started                      pod/external-secrets-6566c4cfdd-587v8                                         Started container external-secrets
default                   2m44s       Warning   UpdateFailed                 validatingwebhookconfiguration/externalsecret-validate                        ca cert not yet ready
external-secrets-system   2m44s       Normal    Pulled                       pod/external-secrets-webhook-7c6789867f-zphzc                                 Container image "oci.external-secrets.io/external-secrets/external-secrets:v0.18.2" already present on machine
external-secrets-system   2m44s       Normal    Created                      pod/external-secrets-webhook-7c6789867f-zphzc                                 Created container: webhook
external-secrets-system   2m44s       Normal    Pulled                       pod/external-secrets-6566c4cfdd-587v8                                         Container image "oci.external-secrets.io/external-secrets/external-secrets:v0.18.2" already present on machine
external-secrets-system   2m44s       Normal    Created                      pod/external-secrets-6566c4cfdd-587v8                                         Created container: external-secrets
external-secrets-system   2m44s       Normal    ScalingReplicaSet            deployment/external-secrets                                                   Scaled up replica set external-secrets-6566c4cfdd from 0 to 1
external-secrets-system   2m44s       Normal    ScalingReplicaSet            deployment/external-secrets-webhook                                           Scaled up replica set external-secrets-webhook-7c6789867f from 0 to 1
external-secrets-system   2m44s       Normal    SuccessfulCreate             replicaset/external-secrets-webhook-7c6789867f                                Created pod: external-secrets-webhook-7c6789867f-zphzc
external-secrets-system   2m44s       Normal    Started                      pod/external-secrets-webhook-7c6789867f-zphzc                                 Started container webhook
external-secrets-system   2m22s       Warning   Unhealthy                    pod/external-secrets-cert-controller-b8bccfdb7-vzz5f                          Readiness probe failed: HTTP probe failed with statuscode: 500
default                   2m17s       Normal    Valid                        clustersecretstore/k8s-gateway-secrets                                        store validated
auth                      2m14s       Normal    Created                      externalsecret/edge-cert                                                      secret created
ci                        2m14s       Normal    Created                      externalsecret/edge-cert                                                      secret created
apps                      2m14s       Normal    Created                      externalsecret/edge-cert                                                      secret created
messaging                 2m13s       Normal    Created                      externalsecret/edge-cert                                                      secret created
observability             2m13s       Normal    Created                      externalsecret/edge-cert                                                      secret created
data                      2m13s       Normal    Created                      externalsecret/edge-cert                                                      secret created
temporal                  2m12s       Normal    Created                      externalsecret/edge-cert                                                      secret created
data                      2m8s        Normal    SuccessfulCreate             statefulset/postgresql                                                        create Pod postgresql-0 in StatefulSet postgresql successful
data                      2m8s        Normal    NoPods                       poddisruptionbudget/postgresql                                                No matching pods found
data                      2m8s        Normal    ExternalProvisioning         persistentvolumeclaim/data-postgresql-0                                       Waiting for a volume to be created either by the external provisioner 'microk8s.io/hostpath' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
data                      2m8s        Normal    Provisioning                 persistentvolumeclaim/data-postgresql-0                                       External provisioner is provisioning volume for claim "data/data-postgresql-0"
data                      2m8s        Normal    SuccessfulCreate             statefulset/postgresql                                                        create Claim data-postgresql-0 Pod postgresql-0 in StatefulSet postgresql success
data                      2m8s        Normal    SuccessfulCreate             replicaset/pgbouncer-f9957d895                                                Created pod: pgbouncer-f9957d895-kznhw
data                      2m8s        Normal    ScalingReplicaSet            deployment/pgbouncer                                                          Scaled up replica set pgbouncer-f9957d895 from 0 to 1
kube-system               2m8s        Normal    Pulled                       pod/hostpath-provisioner-foo-5p8zn                                            Container image "busybox:1.28.4" already present on machine
kube-system               2m8s        Normal    Created                      pod/hostpath-provisioner-foo-5p8zn                                            Created container: busybox
kube-system               2m8s        Normal    Started                      pod/hostpath-provisioner-foo-5p8zn                                            Started container busybox
data                      2m8s        Normal    WaitForFirstConsumer         persistentvolumeclaim/data-postgresql-0                                       waiting for first consumer to be created before binding
data                      2m7s        Normal    Started                      pod/pgbouncer-f9957d895-kznhw                                                 Started container pgbouncer
data                      2m7s        Normal    Created                      pod/pgbouncer-f9957d895-kznhw                                                 Created container: pgbouncer
data                      2m7s        Normal    Pulled                       pod/pgbouncer-f9957d895-kznhw                                                 Container image "ghcr.io/icoretech/pgbouncer-docker:1.24.1" already present on machine
data                      2m3s        Normal    ProvisioningSucceeded        persistentvolumeclaim/data-postgresql-0                                       Successfully provisioned volume pvc-7a715622-a617-4451-a91a-48b29af84bf5
data                      2m2s        Normal    Created                      pod/postgresql-0                                                              Created container: postgresql
data                      2m2s        Normal    Started                      pod/postgresql-0                                                              Started container postgresql
data                      2m2s        Normal    Pulled                       pod/postgresql-0                                                              Container image "docker.io/bitnami/postgresql:17.5.0-debian-12-r20" already present on machine
auth                      110s        Normal    Created                      pod/keycloak-0                                                                Created container: prepare-write-dirs
auth                      110s        Normal    Started                      pod/keycloak-0                                                                Started container prepare-write-dirs
auth                      110s        Normal    NoPods                       poddisruptionbudget/keycloak                                                  No matching pods found
auth                      110s        Normal    Pulled                       pod/keycloak-0                                                                Container image "docker.io/bitnami/keycloak:26.3.2-debian-12-r0" already present on machine
auth                      110s        Normal    SuccessfulCreate             statefulset/keycloak                                                          create Pod keycloak-0 in StatefulSet keycloak successful
gateway                   107s        Normal    Created                      pod/kong-kong-674bb84c8-ghrn7                                                 Created container: clear-stale-pid
gateway                   107s        Normal    ScalingReplicaSet            deployment/kong-kong                                                          Scaled up replica set kong-kong-674bb84c8 from 0 to 1
gateway                   107s        Normal    Started                      pod/kong-kong-674bb84c8-ghrn7                                                 Started container clear-stale-pid
gateway                   107s        Normal    Pulled                       pod/kong-kong-674bb84c8-ghrn7                                                 Container image "kong:3.9" already present on machine
gateway                   107s        Normal    SuccessfulCreate             replicaset/kong-kong-674bb84c8                                                Created pod: kong-kong-674bb84c8-ghrn7
gateway                   107s        Normal    IPAllocated                  service/kong-kong-proxy                                                       Assigned IP ["192.168.1.129"]
gateway                   106s        Normal    Created                      pod/kong-kong-674bb84c8-ghrn7                                                 Created container: proxy
gateway                   106s        Normal    Started                      pod/kong-kong-674bb84c8-ghrn7                                                 Started container proxy
gateway                   106s        Normal    Created                      pod/kong-kong-674bb84c8-ghrn7                                                 Created container: ingress-controller
gateway                   106s        Normal    Started                      pod/kong-kong-674bb84c8-ghrn7                                                 Started container ingress-controller
gateway                   106s        Normal    Pulled                       pod/kong-kong-674bb84c8-ghrn7                                                 Container image "kong/kubernetes-ingress-controller:3.5" already present on machine
gateway                   106s        Normal    Pulled                       pod/kong-kong-674bb84c8-ghrn7                                                 Container image "kong:3.9" already present on machine
observability             103s        Normal    SuccessfulCreate             job/kube-prometheus-stack-admission-create                                    Created pod: kube-prometheus-stack-admission-create-6442s
observability             102s        Normal    Started                      pod/kube-prometheus-stack-admission-create-6442s                              Started container create
observability             102s        Normal    Pulled                       pod/kube-prometheus-stack-admission-create-6442s                              Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v1.6.0" already present on machine
observability             102s        Normal    Created                      pod/kube-prometheus-stack-admission-create-6442s                              Created container: create
observability             99s         Normal    ScalingReplicaSet            deployment/kube-prometheus-stack-grafana                                      Scaled up replica set kube-prometheus-stack-grafana-555bb9554 from 0 to 1
observability             99s         Normal    Completed                    job/kube-prometheus-stack-admission-create                                    Job completed
observability             99s         Normal    SuccessfulCreate             replicaset/kube-prometheus-stack-grafana-555bb9554                            Created pod: kube-prometheus-stack-grafana-555bb9554-cql4x
observability             99s         Normal    SuccessfulCreate             replicaset/kube-prometheus-stack-kube-state-metrics-684f8c7558                Created pod: kube-prometheus-stack-kube-state-metrics-684f8c7558-57v95
observability             99s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-twlgz" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             99s         Normal    ScalingReplicaSet            deployment/kube-prometheus-stack-kube-state-metrics                           Scaled up replica set kube-prometheus-stack-kube-state-metrics-684f8c7558 from 0 to 1
observability             99s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-sk8tc" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             99s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-kqhrw" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             99s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-ml5ps" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             99s         Normal    SuccessfulCreate             replicaset/kube-prometheus-stack-operator-798b86ddb7                          Created pod: kube-prometheus-stack-operator-798b86ddb7-6nt9b
observability             99s         Normal    ScalingReplicaSet            deployment/kube-prometheus-stack-operator                                     Scaled up replica set kube-prometheus-stack-operator-798b86ddb7 from 0 to 1
observability             99s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-btpfp" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             99s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-pclrm" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             98s         Normal    Created                      pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Created container: init-config-reloader
observability             98s         Normal    Started                      pod/kube-prometheus-stack-operator-798b86ddb7-6nt9b                           Started container kube-prometheus-stack
observability             98s         Normal    Created                      pod/kube-prometheus-stack-operator-798b86ddb7-6nt9b                           Created container: kube-prometheus-stack
observability             98s         Normal    Pulled                       pod/kube-prometheus-stack-operator-798b86ddb7-6nt9b                           Container image "quay.io/prometheus-operator/prometheus-operator:v0.83.0" already present on machine
observability             98s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-bdx46" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             98s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-vpmx7" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             98s         Normal    Started                      pod/kube-prometheus-stack-kube-state-metrics-684f8c7558-57v95                 Started container kube-state-metrics
observability             98s         Normal    Created                      pod/kube-prometheus-stack-kube-state-metrics-684f8c7558-57v95                 Created container: kube-state-metrics
observability             98s         Normal    Pulled                       pod/kube-prometheus-stack-kube-state-metrics-684f8c7558-57v95                 Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.16.0" already present on machine
observability             98s         Normal    Started                      pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Started container grafana
observability             98s         Normal    Created                      pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Created container: grafana
observability             98s         Normal    Pulled                       pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.83.0" already present on machine
observability             98s         Normal    Pulled                       pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Container image "docker.io/grafana/grafana:12.1.0" already present on machine
observability             98s         Normal    Started                      pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Started container grafana-sc-datasources
observability             98s         Normal    SuccessfulCreate             statefulset/alertmanager-kube-prometheus-stack-alertmanager                   create Pod alertmanager-kube-prometheus-stack-alertmanager-0 in StatefulSet alertmanager-kube-prometheus-stack-alertmanager successful
observability             98s         Normal    Created                      pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Created container: grafana-sc-datasources
observability             98s         Normal    Pulled                       pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Container image "quay.io/kiwigrid/k8s-sidecar:1.30.3" already present on machine
observability             98s         Normal    Started                      pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Started container grafana-sc-dashboard
observability             98s         Normal    Created                      pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Created container: grafana-sc-dashboard
observability             98s         Normal    Pulled                       pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Container image "quay.io/kiwigrid/k8s-sidecar:1.30.3" already present on machine
observability             97s         Normal    Pulled                       pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Container image "quay.io/prometheus/alertmanager:v0.28.1" already present on machine
observability             97s         Normal    Started                      pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Started container config-reloader
observability             97s         Normal    Created                      pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Created container: alertmanager
observability             97s         Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-6t4hq" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability             97s         Normal    Started                      pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Started container alertmanager
observability             97s         Normal    SuccessfulCreate             job/kube-prometheus-stack-admission-patch                                     Created pod: kube-prometheus-stack-admission-patch-brqfk
observability             97s         Normal    Pulled                       pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.83.0" already present on machine
observability             97s         Normal    Started                      pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Started container init-config-reloader
observability             97s         Normal    Created                      pod/alertmanager-kube-prometheus-stack-alertmanager-0                         Created container: config-reloader
observability             96s         Normal    Created                      pod/kube-prometheus-stack-admission-patch-brqfk                               Created container: patch
observability             96s         Normal    Pulled                       pod/kube-prometheus-stack-admission-patch-brqfk                               Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v1.6.0" already present on machine
observability             96s         Normal    Started                      pod/kube-prometheus-stack-admission-patch-brqfk                               Started container patch
observability             96s         Warning   Unhealthy                    pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Readiness probe failed: Get "http://10.1.24.24:3000/api/health": dial tcp 10.1.24.24:3000: connect: connection refused
gateway                   94s         Normal    nodeAssigned                 service/kong-kong-proxy                                                       announcing from node "foo" with protocol "layer2"
observability             94s         Normal    Completed                    job/kube-prometheus-stack-admission-patch                                     Job completed
observability             92s         Normal    SuccessfulCreate             statefulset/loki                                                              create Pod loki-0 in StatefulSet loki successful
observability             92s         Normal    WaitForPodScheduled          persistentvolumeclaim/storage-loki-0                                          waiting for pod loki-0 to be scheduled
observability             92s         Normal    Pulled                       pod/loki-canary-g2rpd                                                         Container image "docker.io/grafana/loki-canary:3.5.2" already present on machine
observability             92s         Normal    Created                      pod/loki-canary-g2rpd                                                         Created container: loki-canary
observability             92s         Normal    Started                      pod/loki-canary-g2rpd                                                         Started container loki-canary
observability             92s         Normal    SuccessfulCreate             daemonset/loki-canary                                                         Created pod: loki-canary-g2rpd
observability             92s         Normal    Pulled                       pod/loki-chunks-cache-0                                                       Container image "memcached:1.6.38-alpine" already present on machine
observability             92s         Normal    Created                      pod/loki-chunks-cache-0                                                       Created container: memcached
observability             92s         Normal    Started                      pod/loki-chunks-cache-0                                                       Started container memcached
observability             92s         Normal    Pulled                       pod/loki-chunks-cache-0                                                       Container image "prom/memcached-exporter:v0.15.3" already present on machine
observability             92s         Normal    Created                      pod/loki-chunks-cache-0                                                       Created container: exporter
observability             92s         Normal    Started                      pod/loki-chunks-cache-0                                                       Started container exporter
observability             92s         Normal    SuccessfulCreate             statefulset/loki-chunks-cache                                                 create Pod loki-chunks-cache-0 in StatefulSet loki-chunks-cache successful
observability             92s         Normal    Pulled                       pod/loki-results-cache-0                                                      Container image "memcached:1.6.38-alpine" already present on machine
observability             92s         Normal    Created                      pod/loki-results-cache-0                                                      Created container: memcached
observability             92s         Normal    Started                      pod/loki-results-cache-0                                                      Started container memcached
observability             92s         Normal    Pulled                       pod/loki-results-cache-0                                                      Container image "prom/memcached-exporter:v0.15.3" already present on machine
observability             92s         Normal    Created                      pod/loki-results-cache-0                                                      Created container: exporter
observability             92s         Normal    Started                      pod/loki-results-cache-0                                                      Started container exporter
observability             92s         Normal    SuccessfulCreate             statefulset/loki-results-cache                                                create Pod loki-results-cache-0 in StatefulSet loki-results-cache successful
observability             92s         Normal    SuccessfulCreate             statefulset/loki                                                              create Claim storage-loki-0 Pod loki-0 in StatefulSet loki success
observability             92s         Warning   FailedUpdate                 statefulset/loki                                                              update Pod loki-0 in StatefulSet loki failed error: could not update claim storage-loki-0 for delete policy ownerRefs: Operation cannot be fulfilled on persistentvolumeclaims "storage-loki-0": the object has been modified; please apply your changes to the latest version and try again
observability             92s         Normal    WaitForFirstConsumer         persistentvolumeclaim/storage-loki-0                                          waiting for first consumer to be created before binding
observability             91s         Normal    Provisioning                 persistentvolumeclaim/storage-tempo-0                                         External provisioner is provisioning volume for claim "observability/storage-tempo-0"
observability             91s         Normal    ExternalProvisioning         persistentvolumeclaim/storage-tempo-0                                         Waiting for a volume to be created either by the external provisioner 'microk8s.io/hostpath' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
kube-system               91s         Normal    Started                      pod/hostpath-provisioner-foo-zt5vb                                            Started container busybox
kube-system               91s         Normal    Created                      pod/hostpath-provisioner-foo-zt5vb                                            Created container: busybox
kube-system               91s         Normal    Pulled                       pod/hostpath-provisioner-foo-zt5vb                                            Container image "busybox:1.28.4" already present on machine
observability             91s         Normal    SuccessfulCreate             statefulset/tempo                                                             create Pod tempo-0 in StatefulSet tempo successful
observability             91s         Normal    SuccessfulCreate             statefulset/tempo                                                             create Claim storage-tempo-0 Pod tempo-0 in StatefulSet tempo success
observability             91s         Normal    WaitForFirstConsumer         persistentvolumeclaim/storage-tempo-0                                         waiting for first consumer to be created before binding
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-fbq86" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-8792b" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
kube-system               90s         Normal    Pulled                       pod/hostpath-provisioner-foo-ftsl6                                            Container image "busybox:1.28.4" already present on machine
observability             90s         Normal    Provisioning                 persistentvolumeclaim/storage-loki-0                                          External provisioner is provisioning volume for claim "observability/storage-loki-0"
observability             90s         Normal    ExternalProvisioning         persistentvolumeclaim/storage-loki-0                                          Waiting for a volume to be created either by the external provisioner 'microk8s.io/hostpath' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
kube-system               90s         Normal    Created                      pod/hostpath-provisioner-foo-ftsl6                                            Created container: busybox
kube-system               90s         Normal    Started                      pod/hostpath-provisioner-foo-ftsl6                                            Started container busybox
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-dfv9b" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-6dmgj" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-8vvft" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-nc4hs" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-9jnqp" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             90s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-7hfpx" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             89s         Warning   FailedCreate                 daemonset/opentelemetry-collector-agent                                       Error creating: pods "opentelemetry-collector-agent-75lgd" is forbidden: violates PodSecurity "baseline:latest": hostPort (container "opentelemetry-collector" uses hostPorts 14250, 14268, 4317, 4318, 6831, 9411)
observability             88s         Warning   FailedCreate                 statefulset/prometheus-kube-prometheus-stack-prometheus                       create Pod prometheus-kube-prometheus-stack-prometheus-0 in StatefulSet prometheus-kube-prometheus-stack-prometheus failed error: failed to create PVC prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0: PersistentVolumeClaim "prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0" is invalid: spec.resources[storage]: Required value
temporal                  87s         Normal    ScalingReplicaSet            deployment/temporal-prometheus-server                                         Scaled up replica set temporal-prometheus-server-58b95494b4 from 0 to 1
temporal                  87s         Normal    NoPods                       poddisruptionbudget/elasticsearch-master-pdb                                  No matching pods found
temporal                  87s         Warning   FailedCreate                 daemonset/temporal-prometheus-node-exporter                                   Error creating: pods "temporal-prometheus-node-exporter-76qxs" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
temporal                  87s         Warning   FailedCreate                 daemonset/temporal-prometheus-node-exporter                                   Error creating: pods "temporal-prometheus-node-exporter-tdrjl" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
temporal                  87s         Warning   FailedCreate                 daemonset/temporal-prometheus-node-exporter                                   Error creating: pods "temporal-prometheus-node-exporter-7cvmz" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
temporal                  87s         Warning   FailedCreate                 daemonset/temporal-prometheus-node-exporter                                   Error creating: pods "temporal-prometheus-node-exporter-4bwrk" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
temporal                  87s         Normal    SuccessfulCreate             replicaset/temporal-prometheus-server-58b95494b4                              Created pod: temporal-prometheus-server-58b95494b4-9bnf4
temporal                  87s         Normal    WaitForFirstConsumer         persistentvolumeclaim/temporal-prometheus-server                              waiting for first consumer to be created before binding
temporal                  87s         Normal    SuccessfulCreate             replicaset/temporal-kube-state-metrics-74b9d6775b                             Created pod: temporal-kube-state-metrics-74b9d6775b-7pl5j
temporal                  87s         Normal    ScalingReplicaSet            deployment/temporal-history                                                   Scaled up replica set temporal-history-fbb6949b7 from 0 to 1
temporal                  87s         Normal    SuccessfulCreate             replicaset/temporal-prometheus-pushgateway-6b68966754                         Created pod: temporal-prometheus-pushgateway-6b68966754-m29kh
temporal                  87s         Normal    ScalingReplicaSet            deployment/temporal-grafana                                                   Scaled up replica set temporal-grafana-ccc88ddfb from 0 to 1
temporal                  87s         Normal    SuccessfulCreate             replicaset/temporal-history-fbb6949b7                                         Created pod: temporal-history-fbb6949b7-vptr2
temporal                  87s         Warning   FailedCreate                 daemonset/temporal-prometheus-node-exporter                                   Error creating: pods "temporal-prometheus-node-exporter-6rcc6" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
temporal                  87s         Normal    ScalingReplicaSet            deployment/temporal-prometheus-pushgateway                                    Scaled up replica set temporal-prometheus-pushgateway-6b68966754 from 0 to 1
temporal                  87s         Warning   FailedCreate                 daemonset/temporal-prometheus-node-exporter                                   Error creating: pods "temporal-prometheus-node-exporter-qhsb4" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
temporal                  87s         Warning   FailedCreate                 daemonset/temporal-prometheus-node-exporter                                   Error creating: pods "temporal-prometheus-node-exporter-9vf7v" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
